group,entry,target,residual_addr,hard_group_end,pass73_category,pass74_category,reason,residual_byte,cmd_index,first_bytes_at_residual,pass75_category,pass75_reason,pass75_status
$00,20,$B38DD1,$B38DD7,$B39359,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$81,3,$81 $10 $12 $E1 $8D $2E $01 $F0 $89 $10 $35 $12 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$00,95,$B39129,$B3912F,$B39359,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$91,3,$91 $12 $2D $91 $1C $A3 $03 $00 $12 $2D $91,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$00,127,$B392B3,$B392BC,$B39359,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$C1,2,$C1 $92 $12 $BB $92 $23 $5E $1F $7F $04 $3D $22 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$00,134,$B39313,$B39332,$B39359,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$93,8,$93 $12 $30 $93 $1C $3B $01 $00 $12 $30 $93 $1A ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$00,135,$B39313,$B39332,$B39359,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$93,8,$93 $12 $30 $93 $1C $3B $01 $00 $12 $30 $93 $1A ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$01,1,$B39D05,$B39E41,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$CB,72,$CB $9E $12 $3D $9E $4D $51 $9E $2D $1D $9F $58 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$01,4,$B3A162,$B3A192,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$62,13,$62 $A2 $12 $91 $A1 $1C $CA $01 $00 $12 $86 $A1 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$01,5,$B3A438,$B3A470,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$A8,14,$A8 $A4 $12 $6C $A4 $1C $C7 $01 $00 $12 $61 $A4 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$01,6,$B3A5B1,$B3A5D3,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$5C,10,$5C $A6 $12 $CF $A5 $4D $E1 $A5 $1F $67 $A6 $12 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
$01,7,$B3A727,$B3A749,$B3AE03,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$A4,10,$A4 $A7 $12 $45 $A7 $1C $C9 $01 $00 $1B $AF $02 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace
